defined_class	defined_class_name	part_of	part_of_label
PLANA:0002007	auricle	PLANA:0000125	sensory system
PLANA:0002007	auricle	PLANA:0007565	asexual organism
PLANA:0002008	axon	PLANA:0002061	neurite
PLANA:0002009	axoneme	PLANA:0002040	flagellum
PLANA:0002009	axoneme	PLANA:0002024	cilium
PLANA:0002010	basal body	PLANA:0002024	cilium
PLANA:0002010	basal body	PLANA:0002040	flagellum
PLANA:0002011	brain visual center	PLANA:0000044	cephalic ganglia
PLANA:0002011	brain visual center	PLANA:0000124	visual system
PLANA:0002012	bulbar cavity	PLANA:0000234	seminal vesicle
PLANA:0002013	Category 1 cell	PLANA:0002142	parenchyma
PLANA:0002015	cephalic ganglia lobe	PLANA:0000044	cephalic ganglia
PLANA:0002016	cephalic ganglia neuron	PLANA:0000044	cephalic ganglia
PLANA:0002019	chemosensory neuron	PLANA:0000125	sensory system
PLANA:0002019	chemosensory neuron	PLANA:0000080	peripheral nervous system
PLANA:0002021	chromosome	PLANA:0000529	nucleus
PLANA:0002022	chromosome arm	PLANA:0002021	chromosome
PLANA:0002024	cilium	PLANA:0000106	ciliated epithelial cell
PLANA:0002025	commissure	PLANA:0000103	central nervous system
PLANA:0002027	dendrite	PLANA:0002061	neurite
PLANA:0002028	dorsal-ventral muscle cell	PLANA:0000079	parenchymal musculature
PLANA:0002029	early female germ cell	PLANA:0000204	ovary
PLANA:0002030	early male germ cell	PLANA:0000208	testis
PLANA:0002031	embryonic gut	PLANA:0000058	embryonic digestive system
PLANA:0002033	epidermal rhabdite	PLANA:0003105	dorsal epidermal cell
PLANA:0002033	epidermal rhabdite	PLANA:0003101	ventral epidermal cell
PLANA:0002034	ER membrane	PLANA:0007513	endoplasmic reticulum
PLANA:0002035	eumelanin	PLANA:0002058	melanosome
PLANA:0002036	excretory cell	PLANA:0000088	renal system
PLANA:0002040	flagellum	PLANA:0000090	sperm
PLANA:0002042	genital atrium	PLANA:0000126	reproductive system
PLANA:0002043	germ cell cyst	PLANA:0000217	gonad
PLANA:0002044	germline stem cell	PLANA:0000217	gonad
