?cls	?xref
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21852957"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24173799"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"UBERON:0000970"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20215344"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19247960"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22385657"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25017721"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24120894"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21356107"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22439894"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22318224"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:18063755"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20865784"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"https://doi.org/10.1101/279364"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21458439"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24131630"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23903188"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24950970"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:18786419"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29100657"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21828097"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24922054"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27542689"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29674431"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26711341"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19852954"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21937596"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27606067"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20599901"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22899852"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26114597"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21894189"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23629965"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24063805"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20040488"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23318635"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19174194"
